[Tue Sep 23 22:21:04 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:21:04 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:21:04 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:25:29 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: parent_ in /var/www/kids.kinu.co.tz/includes/functions.php on line 100
[Tue Sep 23 22:25:29 2014] [error] [client 127.0.0.1] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in /var/www/kids.kinu.co.tz/includes/functions.php on line 58
[Tue Sep 23 22:25:29 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:25:29 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:25:29 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:25:29 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:27:07 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:27:07 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:27:07 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:27:07 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:28:12 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:28:12 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:28:12 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:28:12 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:40:20 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:40:20 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:40:20 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:40:20 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:43:59 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:43:59 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:43:59 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:43:59 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
